author,year,doi,incl_author,incl_year,country,continent,region,diabetes,criteria,instrument,n_total,n_diabet,n_control,prev_diabet,prev_control,quality
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135465,Balhara et al.,2011,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ,77,77,,0.169,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135466,Basak et al.,2012,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,BDI,100,100,,0.41,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135467,Bhagawan et al.,2016,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,243,243,,0.531,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135468,Chary and Swaminathan,2016,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,250,250,,0.411,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135469,Chaudhary et al.,2017,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,HAM-D,50,50,,0.42,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135470,Das et al.,2013,India,Asia,South-East Asian Region,T2DM,Assisted by Clinician,DSM-IV,195,195,,0.4615,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135471,Dhavale et al.,2013,India,Asia,South-East Asian Region,T2DM,Assisted by Clinician,DSM-IV,100,100,,0.18,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135472,Gehlawat et al.,2013,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,HAM-D,410,410,,0.0975,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135473,Goyal et al.,2014,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,HAM-D,500,500,,0.876,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135474,Gupta et al.,2016,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,703,703,,0.415,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135475,Guruprasad et al.,2012,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,BDI-21,210,210,,0.276,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135476,Iype et al.,2009,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,CES-D,71,71,,0.7042,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135477,Jain et al.,2015,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,100,100,,0.53,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135478,Joseph et al.,2013,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,230,230,,0.452,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135479,Joshi et al.,2011,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,BDI,250,250,,0.116,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135480,Khullar et al.,2016,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,787,787,,0.573,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135481,Kulkarni et al.,2014,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,126,126,,0.3333,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135482,Madhavilatha et al.,2016,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,HAM-D,72,72,,0.805,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135483,Mathew et al.,2012,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,MDI,80,80,,0.3875,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135484,Mathew et al.,2013,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,100,100,,0.49,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135485,Mendenhall et al.,2012,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,HSCL-25,59,59,,0.41,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135486,Mushtaque et al.,2016,India,Asia,South-East Asian Region,T2DM,Assisted by Clinician,DSM-IV,80,80,,0.3875,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135487,Nath et al.,2016,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,ICD-10,50,50,,0.32,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135488,Nekkanti et al.,2015,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,HAM-D,100,100,,0.46,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135489,Poongothai et al.,2010,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-12,1218,1218,,0.197,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135490,Poongothai et al.,2011,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-12,847,847,,0.234,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135491,Rajender et al.,2016,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,MADRS,312,312,,0.3205,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135492,Rajput et al.,2016,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,HAM-D,410,410,,0.263,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135493,Raval et al.,2010,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,300,300,,0.41,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135494,Ravishankar et al.,2014,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,MADRS,500,500,,0.116,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135495,Roy et al.,2018,India,Asia,South-East Asian Region,T2DM,Assisted by Clinician,DSM IV,250,250,,0.388,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135496,Satish and Lakshmi,2016,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,BDI,91,91,,0.3,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135497,Siddiqui et al.,2014,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,130,130,,0.3538,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135498,Singh et al.,2014,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,CES-D,109,109,,0.422,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135499,Singla et al.,2012,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,MINI,91,91,,0.08,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135500,Solanki et al.,2009,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,BDI,50,50,,0.36,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135501,Thour et al.,2015,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,73,73,,0.41,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135502,Weaver and Madhu,2015,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,HSCL-25,184,184,,0.19,,High
"Teshome, H. M. and Ayalew, G. D. and Shiferaw, F. W. and Leshargie, C. T. and Boneya, D. J.",2018,10.3390/jcm7110445,Erkie et al,2013,Ethiopia,Africa,African Region,T1DM & T2DM,Not Assisted by Clinician,HDRS,313,313,,0.61,,High
"Teshome, H. M. and Ayalew, G. D. and Shiferaw, F. W. and Leshargie, C. T. and Boneya, D. J.",2018,10.3390/jcm7110445,Teshager and Giru,2016,Ethiopia,Africa,African Region,T1DM & T2DM,Not Assisted by Clinician,PHQ-9,416,416,,0.404,,High
"Teshome, H. M. and Ayalew, G. D. and Shiferaw, F. W. and Leshargie, C. T. and Boneya, D. J.",2018,10.3390/jcm7110445,Tilahune et al,2016,Ethiopia,Africa,African Region,T1DM & T2DM,Not Assisted by Clinician,BDI-II,264,264,,0.17,,High
"Teshome, H. M. and Ayalew, G. D. and Shiferaw, F. W. and Leshargie, C. T. and Boneya, D. J.",2018,10.3390/jcm7110445,Tiki,2017,Ethiopia,Africa,African Region,T1DM & T2DM,Not Assisted by Clinician,HADS-D,423,423,,0.47,,High
"Teshome, H. M. and Ayalew, G. D. and Shiferaw, F. W. and Leshargie, C. T. and Boneya, D. J.",2018,10.3390/jcm7110445,Habtewold et al,2016,Ethiopia,Africa,African Region,T2DM,Not Assisted by Clinician,PHQ-9,264,264,,0.447,,High
"Teshome, H. M. and Ayalew, G. D. and Shiferaw, F. W. and Leshargie, C. T. and Boneya, D. J.",2018,10.3390/jcm7110445,Birhanu et al,2016,Ethiopia,Africa,African Region,T1DM & T2DM,Not Assisted by Clinician,PHQ-9,415,415,,0.154,,High
"Teshome, H. M. and Ayalew, G. D. and Shiferaw, F. W. and Leshargie, C. T. and Boneya, D. J.",2018,10.3390/jcm7110445,Tilahune et al,2016,Ethiopia,Africa,African Region,T1DM & T2DM,Not Assisted by Clinician,PHQ-9,326,326,,0.245,,High
"Teshome, H. M. and Ayalew, G. D. and Shiferaw, F. W. and Leshargie, C. T. and Boneya, D. J.",2018,10.3390/jcm7110445,Dejene et al,2014,Ethiopia,Africa,African Region,T2DM,Not Assisted by Clinician,BDI-II,335,335,,0.436,,High
"Teshome, H. M. and Ayalew, G. D. and Shiferaw, F. W. and Leshargie, C. T. and Boneya, D. J.",2018,10.3390/jcm7110445,Dessie et al,2017,Ethiopia,Africa,African Region,T2DM,#Not Reported,#Not Reported,188,188,,0.649,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-9,"Zurita-Cruz, JN",2018,Mexico,South America,Region of the Americas,T2DM,Not Assisted by Clinician,BDI,1394,1394,,0.758,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-10,"Wilson, C",2018,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,57,57,,0.193,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-11,"Welkert, B",2018,Germany,Europe,European Region,T2DM,Not Assisted by Clinician,PHQ-9,507,507,,0.118,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-12,"Welkert, B",2018,Germany,Europe,European Region,T2DM,Not Assisted by Clinician,PHQ-9,119,119,,0.078,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-13,"Wang, D",2018,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,PHQ-9,808,808,,0.116,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-14,"Tabesh, M",2018,Australia,Australia,Western Pacific Region,T2DM,Not Assisted by Clinician,CES-D,480,480,,0.13,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-15,"Sughra, U",2018,Pakistan,Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,BDI,110,110,,0.555,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-16,"Shinkov, A",2018,Bulgaria,Europe,European Region,T2DM,Not Assisted by Clinician,ZSRD,96,96,,0.596,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-17,"Shinkov, A",2018,Bulgaria,Europe,European Region,T2DM,Not Assisted by Clinician,ZSRD,70,70,,0.327,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-18,"Schinckus, L",2018,Belgium,Europe,European Region,T2DM,Not Assisted by Clinician,BDI,128,128,,0.635,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-19,"Saman, KA",2018,Palestine,Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,PHQ-9,380,380,,0.27,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-20,"Ronel, J",2018,Germany,Europe,European Region,T2DM,Not Assisted by Clinician,HADS,213,213,,0.222,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-21,"Renn, BN",2018,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,WHO-5,368,368,,0.679,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-22,"Rawlings, M",2018,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,231,231,,0.11,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-23,"Rathman, W",2008,Germany,Europe,European Region,T2DM,Assisted by Clinician,ICD-10,6907,6907,,0.076,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-24,"Rathman, W",2012,Germany,Europe,European Region,T2DM,Assisted by Clinician,ICD-10,17093,17093,,0.096,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-25,"Rathman, W",2016,Germany,Europe,European Region,T2DM,Assisted by Clinician,ICD-10,21175,21175,,0.105,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-26,"Purewal, R",2018,United Kingdom,Europe,European Region,T2DM,Not Assisted by Clinician,PHQ-9,279,279,,0.25,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-27,"Nanayakara, N",2018,Australia,Australia,Western Pacific Region,T2DM,Not Assisted by Clinician,BCD,2552,2552,,0.273,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-28,"Mocan, AS",2018,Romania,Europe,European Region,T2DM,Not Assisted by Clinician,BDI,354,354,,0.169,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-29,"Meneilly, GS",2018,Canada,North America,Region of the Americas,T2DM,#NA,#NA,504,504,,0.183,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-30,"Meneilly, GS",2018,Canada,North America,Region of the Americas,T2DM,#NA,#NA,329,329,,0.176,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-31,"Ma, Y",2018,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,ZSRD,245,245,,0.4653,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-32,"Lloyd, CE",2018,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,PHQ-9,2783,2783,,0.276,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-33,"Kotsani, M",2018,Greece,Europe,European Region,T2DM,Not Assisted by Clinician,GDS,198,198,,0.291,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-34,"Iwase, M",2018,Japan,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,CES-D,4870,4870,,0.086,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-35,"Gois, C",2018,Portugal,Europe,European Region,T2DM,Not Assisted by Clinician,HADS,628,628,,0.244,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-36,"FurUnited Kingdomawa, S",2018,Japan,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,SDS,762,762,,0.168,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-37,"Fung, ACH",2018,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,GDS,325,325,,0.13,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-38,"Eker, S",2018,Turkey,Asia,European Region,T2DM,Not Assisted by Clinician,BDI,162,162,,0.599,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-39,"Choi, WH",2018,Republic of Korea,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,CESD,171,171,,0.129,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-40,"Braizat, O",2018,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CESD,75,75,,0.3,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-41,"Younis, BB",2017,Pakistan,Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,WHO-5,142,142,,0.169,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-42,"Wong, EM",2017,Canada,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,148,148,,0.12,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-43,"Webb, M",2017,England,Europe,European Region,T2DM,Not Assisted by Clinician,WHO-5,78,78,,0.094,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-44,"Wang, Y",2017,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,PHQ-9,2786,2786,,0.0571,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-45,"Tu, HP",2017,Taiwan (Province of China),Asia,Western Pacific Region,T2DM,Diagnosis,ICD-9-CM,62367,62367,,0.0407,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-46,"Taylor, S",2017,Australia,Australia,Western Pacific Region,T2DM,Not Assisted by Clinician,PHQ-9,188,188,,0.58,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-47,"Tan, ML",2017,Singapore,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,Kessler-10 Psychological Distress,73,73,,0.194,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-48,"Tan, ML",2017,Singapore,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,Kessler-10 Psychological Distress,143,143,,0.195,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-49,"Sidhu, R",2017,Canada,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,41,41,,0.15,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-50,"Shin, N",2017,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-2,702,702,,0.23,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-51,"Saetung, S",2017,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,182,182,,0.357,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-52,"Saetung, S",2017,Thailand,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,CES-D,251,251,,0.219,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-53,"Patel, PJ",2017,Australia,Australia,Western Pacific Region,T2DM,Not Assisted by Clinician,#N/A,95,95,,0.44,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-54,"Naicker, K",2017,Norway,Europe,European Region,T2DM,Not Assisted by Clinician,HADS,2035,2035,,0.215,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-55,"Moreira, BS",2017,Brazil,South America,Region of the Americas,T2DM,Not Assisted by Clinician,GDS-15,855,855,,0.184,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-56,"Lee, CM",2017,Taiwan (Province of China),Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,CGDS-SF,696,696,,0.168,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-57,"Kav, S",2017,Turkey,Asia,European Region,T2DM,Not Assisted by Clinician,BDI,200,200,,0.375,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-58,"Golden, SH",2017,United State of America,North America,Region of the Americas,T2DM,Diagnosis,DSM-IV,702,702,,0.093,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-59,"Gahlan, D",2017,India,Asia,South-East Asian Region,T2DM,Not Reported,Not Reported,410,410,,0.263,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-60,"Chowdhury, SH",2017,Bangladesh,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,HADS,121,121,,0.562,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-61,Chima CC,2017,United State of America,North America,Region of the Americas,T2DM,Diagnosis,ICD-9-CM,82232151,82232151,,0.119,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-62,"Cardenas, V",2017,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,332,332,,0.096,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-63,"AlBekairy, A",2017,Saudi Arabia,Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,HADS,158,158,,0.538,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-64,"Albasheer, OB",2017,Saudi Arabia,Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,PHQ-9,385,385,,0.376,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-65,"Zhang, P",2016,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,SDS,944,944,,0.401,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-66,"Whitworth, SR",2016,Australia,Australia,Western Pacific Region,T2DM,Not Assisted by Clinician,PHQ-9,1549,1549,,0.342,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-67,"Wang, Y",2016,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,2182,2182,,0.042,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-68,"Urrutia-Aliano, D",2016,Peru,South America,Region of the Americas,T2DM,Not Assisted by Clinician,ZSRDS,108,108,,0.565,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-69,"Sun, N",2016,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,ZSRDS,893,893,,0.436,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-70,"Sopjani, I",2016,Kosovo,Europe,European Region,T2DM,Not Assisted by Clinician,HANDS,200,200,,0.665,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-71,"Smith, KJ",2016,Canada,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,2028,2028,,0.056,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-72,"Sehlo, MG",2016,Saudi Arabia,Asia,Eastern Mediterranean Region,T2DM,Diagnosis,DSM-IV,71,71,,0.282,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-73,"Rajput, R",2016,India,Asia,South-East Asian Region,T2DM,Diagnosis,HDRS,410,410,,0.263,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-74,"Nicolau, J",2016,Spain,Europe,European Region,T2DM,Not Assisted by Clinician,BDI,320,320,,0.272,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-75,"Mut-Vitcu, G",2016,Romania,Europe,European Region,T2DM,Not Assisted by Clinician,PHQ-9,184,184,,0.712,,High
